,FFP_TIER,FLIGHT_COUNT,LAST_TO_END,SEG_KM_SUM,EXCHANGE_COUNT,Points_Sum,AGE,ffp_year
0,6,210,1,580717,34,619760,31,2006
1,6,140,7,293678,29,415768,42,2007
2,6,135,11,283712,20,406361,40,2007
3,5,23,97,281336,11,372204,64,2008
4,6,152,5,309928,27,338813,48,2009
5,6,92,79,294585,10,343121,64,2008
6,6,101,1,287042,20,298873,46,2006
7,6,73,3,287230,7,351198,50,2010
8,5,56,6,321489,5,295158,50,2011
9,6,64,15,375074,13,251907,43,2010
10,6,43,22,262013,1,337839,34,2010
11,6,145,6,271438,15,353101,47,2004
12,5,29,67,321529,3,245808,58,2006
13,6,118,3,179514,14,270704,47,2006
14,6,50,2,270067,9,328345,45,2010
15,4,22,65,234721,6,310002,63,2008
16,6,101,7,172231,15,257193,48,2010
17,6,40,45,284160,12,281705,50,2010
18,6,64,2,169358,16,249914,54,2006
19,6,38,24,332896,0,215694,41,2011
20,6,106,4,167113,4,251134,49,2008
21,6,23,6,214590,7,286520,0,2011
22,6,94,23,305250,5,277394,69,2005
23,6,20,74,222380,8,280760,41,2010
24,5,44,17,281837,10,235939,48,2010
25,6,62,17,243674,7,274882,39,2010
26,6,213,3,187917,0,795398,46,2007
27,6,74,11,148685,8,235176,47,2005
28,6,101,18,159129,3,237787,62,2006
29,6,87,11,149254,9,224081,46,2008
30,6,53,2,144076,3,211879,55,2006
31,6,95,8,149053,8,212131,46,2004
32,6,131,16,220948,14,234826,69,2005
33,6,95,3,148227,8,220012,45,2006
34,6,47,3,285144,5,251712,48,2006
35,4,25,108,220389,9,258717,53,2009
36,4,24,34,189813,6,239108,39,2005
37,6,54,125,141012,5,206363,37,2006
38,6,166,1,229303,10,260880,45,2007
39,6,81,34,140819,1,213436,63,2009
40,6,98,2,137876,11,210435,48,2006
41,6,35,3,201141,13,254051,63,2011
42,6,95,3,140803,1,220352,54,2007
43,5,46,13,256766,0,191878,51,2010
44,6,54,38,160825,0,230772,49,2004
45,6,21,22,185493,4,237893,39,2010
46,6,110,1,187588,5,227957,47,2012
47,6,134,7,140356,9,200953,59,2006
48,6,107,2,135811,2,205938,76,2005
